proceedings,sessionEvent,cnt
iswc2012:industry-proceedings,http://data.semanticweb.org/conference/iswc/2012,12
iswc2012:industry-proceedings,iswc2012:session/industry-01,3
iswc2012:industry-proceedings,iswc2012:session/industry-02,3
iswc2012:industry-proceedings,iswc2012:session/industry-03,3
iswc2012:industry-proceedings,iswc2012:session/industry-04,3
iswc2012:industry-proceedings,iswc2012:talk/industry-01,1
iswc2012:industry-proceedings,iswc2012:talk/industry-02,1
iswc2012:industry-proceedings,iswc2012:talk/industry-03,1
iswc2012:industry-proceedings,iswc2012:talk/industry-04,1
iswc2012:industry-proceedings,iswc2012:talk/industry-05,1
iswc2012:industry-proceedings,iswc2012:talk/industry-06,1
iswc2012:industry-proceedings,iswc2012:talk/industry-07,1
iswc2012:industry-proceedings,iswc2012:talk/industry-08,1
iswc2012:industry-proceedings,iswc2012:talk/industry-09,1
iswc2012:industry-proceedings,iswc2012:talk/industry-10,1
iswc2012:industry-proceedings,iswc2012:talk/industry-11,1
iswc2012:industry-proceedings,iswc2012:talk/industry-12,1
iswc2012:industry-proceedings,iswc2012:track/industry,12
iswc2012:poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012,31
iswc2012:poster-demo-proceedings,iswc2012:special/poster-demo-swc-reception,31
iswc2012:poster-demo-proceedings,iswc2012:track/poster-demo,31
iswc2012:poster-demo-proceedings,iswc2012:track/semantic-web-challenge,31
iswc2012:proceedings,http://data.semanticweb.org/conference/iswc/2012,84
iswc2012:proceedings,iswc2012:session/evaluation-01,3
iswc2012:proceedings,iswc2012:session/evaluation-02,3
iswc2012:proceedings,iswc2012:session/evaluation-03,2
iswc2012:proceedings,iswc2012:session/inuse-01,3
iswc2012:proceedings,iswc2012:session/inuse-02,3
iswc2012:proceedings,iswc2012:session/inuse-03,2
iswc2012:proceedings,iswc2012:session/inuse-04,3
iswc2012:proceedings,iswc2012:session/inuse-05,3
iswc2012:proceedings,iswc2012:session/inuse-06,3
iswc2012:proceedings,iswc2012:session/research-01,3
iswc2012:proceedings,iswc2012:session/research-02,3
iswc2012:proceedings,iswc2012:session/research-03,3
iswc2012:proceedings,iswc2012:session/research-04,3
iswc2012:proceedings,iswc2012:session/research-05,3
iswc2012:proceedings,iswc2012:session/research-06,3
iswc2012:proceedings,iswc2012:session/research-07,3
iswc2012:proceedings,iswc2012:session/research-08,3
iswc2012:proceedings,iswc2012:session/research-09,3
iswc2012:proceedings,iswc2012:session/research-10,3
iswc2012:proceedings,iswc2012:session/research-11,3
iswc2012:proceedings,iswc2012:session/research-12,3
iswc2012:proceedings,iswc2012:session/research-13,3
iswc2012:proceedings,iswc2012:session/research-14,2
iswc2012:proceedings,iswc2012:special/doctoral-consortium,15
iswc2012:proceedings,iswc2012:talk/evaluation-10,1
iswc2012:proceedings,iswc2012:talk/evaluation-15,1
iswc2012:proceedings,iswc2012:talk/evaluation-17,1
iswc2012:proceedings,iswc2012:talk/evaluation-18,1
iswc2012:proceedings,iswc2012:talk/evaluation-27,1
iswc2012:proceedings,iswc2012:talk/evaluation-35,1
iswc2012:proceedings,iswc2012:talk/evaluation-37,1
iswc2012:proceedings,iswc2012:talk/evaluation-41,1
iswc2012:proceedings,iswc2012:talk/inuse-04,1
iswc2012:proceedings,iswc2012:talk/inuse-09,1
iswc2012:proceedings,iswc2012:talk/inuse-10,1
iswc2012:proceedings,iswc2012:talk/inuse-17,1
iswc2012:proceedings,iswc2012:talk/inuse-18,1
iswc2012:proceedings,iswc2012:talk/inuse-26,1
iswc2012:proceedings,iswc2012:talk/inuse-27,1
iswc2012:proceedings,iswc2012:talk/inuse-32,1
iswc2012:proceedings,iswc2012:talk/inuse-35,1
iswc2012:proceedings,iswc2012:talk/inuse-39,1
iswc2012:proceedings,iswc2012:talk/inuse-51,1
iswc2012:proceedings,iswc2012:talk/inuse-53,1
iswc2012:proceedings,iswc2012:talk/inuse-54,1
iswc2012:proceedings,iswc2012:talk/inuse-58,1
iswc2012:proceedings,iswc2012:talk/inuse-71,1
iswc2012:proceedings,iswc2012:talk/inuse-72,1
iswc2012:proceedings,iswc2012:talk/inuse-78,1
iswc2012:proceedings,iswc2012:talk/keynote-1,1
iswc2012:proceedings,iswc2012:talk/keynote-2,1
iswc2012:proceedings,iswc2012:talk/keynote-3,1
iswc2012:proceedings,iswc2012:talk/research-01,1
iswc2012:proceedings,iswc2012:talk/research-02,1
iswc2012:proceedings,iswc2012:talk/research-03,1
iswc2012:proceedings,iswc2012:talk/research-04,1
iswc2012:proceedings,iswc2012:talk/research-05,1
iswc2012:proceedings,iswc2012:talk/research-06,1
iswc2012:proceedings,iswc2012:talk/research-07,1
iswc2012:proceedings,iswc2012:talk/research-08,1
iswc2012:proceedings,iswc2012:talk/research-09,1
iswc2012:proceedings,iswc2012:talk/research-10,1
iswc2012:proceedings,iswc2012:talk/research-11,1
iswc2012:proceedings,iswc2012:talk/research-12,1
iswc2012:proceedings,iswc2012:talk/research-13,1
iswc2012:proceedings,iswc2012:talk/research-14,1
iswc2012:proceedings,iswc2012:talk/research-15,1
iswc2012:proceedings,iswc2012:talk/research-16,1
iswc2012:proceedings,iswc2012:talk/research-17,1
iswc2012:proceedings,iswc2012:talk/research-18,1
iswc2012:proceedings,iswc2012:talk/research-19,1
iswc2012:proceedings,iswc2012:talk/research-20,1
iswc2012:proceedings,iswc2012:talk/research-21,1
iswc2012:proceedings,iswc2012:talk/research-22,1
iswc2012:proceedings,iswc2012:talk/research-23,1
iswc2012:proceedings,iswc2012:talk/research-24,1
iswc2012:proceedings,iswc2012:talk/research-25,1
iswc2012:proceedings,iswc2012:talk/research-26,1
iswc2012:proceedings,iswc2012:talk/research-27,1
iswc2012:proceedings,iswc2012:talk/research-28,1
iswc2012:proceedings,iswc2012:talk/research-29,1
iswc2012:proceedings,iswc2012:talk/research-30,1
iswc2012:proceedings,iswc2012:talk/research-31,1
iswc2012:proceedings,iswc2012:talk/research-32,1
iswc2012:proceedings,iswc2012:talk/research-33,1
iswc2012:proceedings,iswc2012:talk/research-34,1
iswc2012:proceedings,iswc2012:talk/research-35,1
iswc2012:proceedings,iswc2012:talk/research-36,1
iswc2012:proceedings,iswc2012:talk/research-37,1
iswc2012:proceedings,iswc2012:talk/research-38,1
iswc2012:proceedings,iswc2012:talk/research-39,1
iswc2012:proceedings,iswc2012:talk/research-40,1
iswc2012:proceedings,iswc2012:talk/research-41,1
iswc2012:proceedings,iswc2012:track/doctoral-consortium,15
iswc2012:proceedings,iswc2012:track/evaluation,8
iswc2012:proceedings,iswc2012:track/inuse,17
iswc2012:proceedings,iswc2012:track/research,41
iswc2012:semantic-web-challenge-proceedings,http://data.semanticweb.org/conference/iswc/2012,24
iswc2012:semantic-web-challenge-proceedings,iswc2012:special/poster-demo-swc-reception,24
iswc2012:semantic-web-challenge-proceedings,iswc2012:track/poster-demo,24
iswc2012:semantic-web-challenge-proceedings,iswc2012:track/semantic-web-challenge,24
