eventLabel,roleLabel,cnt
11th International Semantic Web Conference,ISWC2012 Doctoral Consortium Chair,2
11th International Semantic Web Conference,ISWC2012 Evaluation Chair,3
11th International Semantic Web Conference,ISWC2012 Fellowship Chair,1
11th International Semantic Web Conference,ISWC2012 General Chair,1
11th International Semantic Web Conference,ISWC2012 Industry Chair,3
11th International Semantic Web Conference,ISWC2012 Local Chair,1
11th International Semantic Web Conference,ISWC2012 Metadata Chair,1
11th International Semantic Web Conference,ISWC2012 Poster and Demo Chair,2
11th International Semantic Web Conference,ISWC2012 Proceedings Chair,1
11th International Semantic Web Conference,ISWC2012 Program Chair,2
11th International Semantic Web Conference,ISWC2012 Publicity Chair,1
11th International Semantic Web Conference,ISWC2012 Semantic Web Challenge Chair,2
11th International Semantic Web Conference,ISWC2012 Semantic Web In Use Chair,2
11th International Semantic Web Conference,ISWC2012 Sponsorship Chair,2
11th International Semantic Web Conference,ISWC2012 Webmaster Chair,1
11th International Semantic Web Conference,ISWC2012 Worshop and Tutorial Chair,2
2nd Joint Workshop on Knowledge Evolution and Ontology Dynamics,Workshop Chair,3
3rd Workshop on Ontology Patterns,Workshop Chair,4
3rd Workshop on the Multilingual Semantic Web,Workshop Chair,5
5th International Terra Cognita Workshop 2012,Workshop Chair,4
5th International Workshop on Semantic Sensor Networks,Workshop Chair,5
8th International Workshop on Uncertainty Reasoning for the Semantic Web,Workshop Chair,7
Alternative Knowledge Representation Approaches,ISWC2012 Session Chair,1
Applications,ISWC2012 Session Chair,1
Applied Reasoning and Querying ,ISWC2012 Session Chair,1
Big Graph Data Panel,ISWC2012 Panellist,5
Description Logic,ISWC2012 Session Chair,1
"Detection, Representation, and Exploitation of Events in the Semantic Web",Workshop Chair,5
Doctoral Consortium,ISWC2012 Doctoral Consortium Chair,2
Doctoral Consortium,PC Member at ISWC2012(Doctoral Consortium),9
Evaluation of reasoning with ontologies,ISWC2012 Session Chair,1
Evaluations and Experiments Track,ISWC2012 Evaluation Chair,3
Evaluations and Experiments Track,PC Member at ISWC2012(Evaluation Track),30
Federated and Stream Query Processing,ISWC2012 Session Chair,1
Financial Information Management Using the Semantic Web,Tutorial Organizer,3
First Workshop on Programming the Semantic Web,Workshop Chair,4
Getting to know PROV - the W3C Provenance Specifications,Tutorial Organizer,4
In-Use Track,ISWC2012 Semantic Web In Use Chair,2
In-Use Track,PC Member at ISWC2012(Semantic Web In Use Track),61
Industry Track,ISWC2012 Industry Chair,3
Industry Track,PC Member at ISWC2012(Industry Track),11
Industry Track I,ISWC2012 Session Chair,1
Industry Track II,ISWC2012 Session Chair,1
Industry Track III,ISWC2012 Session Chair,1
Industry Track IV,ISWC2012 Session Chair,1
Information Extraction,ISWC2012 Session Chair,1
Infrastructure,ISWC2012 Session Chair,1
Instance matching,ISWC2012 Session Chair,1
International Workshop on Semantic Technologies meet Recommender Systems & Big Data,Workshop Chair,5
Joint Workshop on Large and Heterogeneous Data and Quantitative Formalization in the Semantic Web,Workshop Chair,7
Joint Workshop on Scalable and High-Performance Semantic Web Systems,Workshop Chair,6
Joint Workshop on Semantic Technologies Applied to Biomedical Informatics and Individualized Medicine (SATBI+SWIM 2012),Workshop Chair,7
Knowledge Discovery,ISWC2012 Session Chair,1
Knowledge Extraction and Consolidation from Social media,Workshop Chair,4
LD4D: Linked Data for Development,Tutorial Organizer,5
LL-NLP Tutorial: What to do with long literals? Ask the NLP community...,Tutorial Organizer,1
Learning on Linked Data: Tensors and their Applications in Graph-Structured Domains,Tutorial Organizer,2
Linked Data,ISWC2012 Session Chair,1
Ontology Engineering and Optimization,ISWC2012 Session Chair,1
Ontology Mapping,ISWC2012 Session Chair,1
Posters and Demos,ISWC2012 Poster and Demo Chair,2
Posters and Demos,PC Member at ISWC2012(Poster and Demo),25
Provenance and Verification,ISWC2012 Session Chair,1
Queries,ISWC2012 Session Chair,1
Question Answering and NLP,ISWC2012 Session Chair,1
RDF Query Processing in the Cloud,Tutorial Organizer,2
Research Track,ISWC2012 Program Chair,2
Research Track,PC Member at ISWC2012(Research Track),136
Research Track,Senior PC Member at ISWC2012(Research Track),17
Scalability and Parallel Processing,ISWC2012 Session Chair,1
"Scalable semantic processing of huge, distributed real-time streams: Semantics Between Event Processing and Cloud Computing",Tutorial Organizer,4
"Search, question answering and entity summarization",ISWC2012 Session Chair,1
Semantic Web Challenge,ISWC2012 Semantic Web Challenge Chair,2
Semantic Web Challenge,PC Member at ISWC2012,10
"Semantic Web Rules: Fundamentals, Applications, and Standards",Tutorial Organizer,3
Semantic Web in Biomedicine,ISWC2012 Session Chair,1
Social and Collaborative Semantics,ISWC2012 Session Chair,1
Streaming and Geospatial DBMSs,ISWC2012 Session Chair,1
The 2nd International Workshop on Linked Science 2012Tackling Big Data,Workshop Chair,3
The Semantic Web in 2022,Workshop Chair,5
The Seventh International Workshop on Ontology Matching,Workshop Chair,6
The Trials and Tribulations of a Semantic Technology Evangelist,ISWC2012 Keynote Speaker,1
The Web of Data for E-Commerce in Brief,Tutorial Organizer,3
Third International Workshop on Consuming Linked Data,Workshop Chair,3
Town Hall Meeting,ISWC2012 Session Mediator,1
User Interfaces and Personalization,ISWC2012 Session Chair,1
Web of Linked Entities,Workshop Chair,5
eGov and Smart Cities,ISWC2012 Session Chair,1
schema.org update,ISWC2012 Session Chair,1
